person_id,id,name,character,role
369606,tm144263,Indrajit Nattooji,,DIRECTOR
404649,tm21155,Michel Kammoun,,DIRECTOR
66876,tm85369,Milan Luthria,,DIRECTOR
262830,tm341561,Annemarie Jacir,,DIRECTOR
21934,tm140653,Andrew Lau,,DIRECTOR
645751,tm311516,Partho Mitra,,DIRECTOR
141354,tm152413,Yasmin Ahmad,,DIRECTOR
254308,tm130999,Umesh Shukla,,DIRECTOR
141692,tm28024,Cathy Garcia-Molina,,DIRECTOR
167882,tm85563,Newton I. Aduaka,,DIRECTOR
304814,ts124246,Rajiv Chilaka,,DIRECTOR
136620,tm254745,Mai Masri,,DIRECTOR
145940,tm76399,Maryo J. de los Reyes,,DIRECTOR
1171669,tm639940,Mahmood Ali-Balogun,,DIRECTOR
421380,tm89054,Kingsley Ogoro,,DIRECTOR
401463,tm252951,Todd S. Yellin,,DIRECTOR
141354,tm87672,Yasmin Ahmad,,DIRECTOR
6536,tm68272,Nima Nourizadeh,,DIRECTOR
21388,tm61801,Kathryn Bigelow,,DIRECTOR
77799,tm44730,Marc Webb,,DIRECTOR
1725,tm39888,Christopher Nolan,,DIRECTOR
2222,tm166978,Brad Bird,,DIRECTOR
83479,tm170442,J.C. Chandor,,DIRECTOR
2266,tm41792,Quentin Tarantino,,DIRECTOR
859215,ts32835,Hiroshi Koujina,,DIRECTOR
